,sport,dport,seq,ask,dataofs,window,chksum,timestamp,class2
0,443,42680,3734176449,2386801833,8,32768,50755,"(1131042488, 2746310284)",0
1,42680,443,2386801833,3734176554,8,10043,36314,"(2746322006, 1131042488)",5
2,39060,443,3202258956,929523516,8,501,31320,"(2240206307, 329499927)",0
3,443,39060,929523516,3202259008,8,1452,44901,"(329520986, 2240206307)",0
4,39060,443,3202259008,929523551,8,501,22280,"(2240206402, 329520986)",0
5,42680,443,2386801833,3734176554,8,10043,20494,"(2746330774, 1131042488)",5
6,443,42680,3734176554,2386802082,8,32768,61154,"(1131051441, 2746330774)",0
7,443,42680,3734176554,2386802082,8,32768,20066,"(1131051482, 2746330774)",0
8,42680,443,2386802082,3734176643,8,10043,18011,"(2746330977, 1131051482)",5
9,42680,443,2386802082,3734176643,8,10043,9639,"(2746331174, 1131051482)",5
10,59094,443,3850612567,0,10,64240,7451,"(3850478064, 0)",3
11,57774,80,3524254382,0,10,64240,3017,"(3850478066, 0)",1
12,443,42680,3734176643,2386802299,8,32768,60051,"(1131051838, 2746331174)",0
13,443,59094,3471133095,3850612568,10,65535,48855,"(2089600231, 3850478064)",0
14,59094,443,3850612568,3471133096,8,502,59923,"(3850478252, 2089600231)",0
15,80,57774,3512671843,3524254383,10,65535,32477,"(1546075107, 3850478066)",1
16,57774,80,3524254383,3512671844,8,502,43767,"(3850478252, 1546075107)",1
17,443,42680,3734176643,2386802299,8,32768,26502,"(1131051919, 2746331174)",0
18,42680,443,2386802299,3734176940,8,10043,16658,"(2746331379, 1131051919)",5
19,443,42680,3734176940,2386802299,8,32768,5405,"(1131051926, 2746331174)",0
20,42680,443,2386802299,3734177045,8,10043,16546,"(2746331379, 1131051926)",5
21,59094,443,3850612568,3471133096,8,502,36746,"(3850478252, 2089600231)",0
22,57774,80,3524254383,3512671844,8,502,30476,"(3850478252, 1546075107)",1
23,443,59094,3471133096,3850612709,8,2082,16649,"(2089600420, 3850478252)",1
24,59094,443,3850612709,3471133277,8,501,59209,"(3850478456, 2089600420)",0
25,80,57774,3512671844,3524254771,8,2082,29177,"(1546075294, 3850478252)",1
26,57774,80,3524254771,3512672187,8,501,42646,"(3850478456, 1546075294)",1
27,57774,80,3524254771,3512672187,8,501,42644,"(3850478457, 1546075294)",1
28,59094,443,3850612709,3471133277,8,501,18802,"(3850478457, 2089600420)",0
29,443,59094,3471133277,3850612974,8,2115,30269,"(2089600623, 3850478457)",1
30,80,57774,3512672187,3524254772,8,2082,40859,"(1546075497, 3850478457)",1
31,57774,80,3524254772,3512672188,8,501,42235,"(3850478662, 1546075497)",1
32,59094,443,3850612974,3471133382,8,501,65448,"(3850478664, 2089600623)",0
33,443,59094,3471133382,3850613175,8,2149,43741,"(2089600831, 3850478664)",1
34,443,59094,3471133551,3850613175,8,2149,13523,"(2089600840, 3850478664)",1
35,443,59094,3471136007,3850613175,8,2149,13523,"(2089600840, 3850478664)",1
36,443,59094,3471138463,3850613175,8,2149,13523,"(2089600840, 3850478664)",1
37,443,59094,3471140919,3850613175,8,2149,45502,"(2089600840, 3850478664)",1
38,59094,443,3850613175,3471142147,8,501,49052,"(3850478866, 2089600831)",0
39,443,59094,3471142147,3850613175,8,2149,48773,"(2089600840, 3850478664)",1
40,443,59094,3471143375,3850613175,8,2149,13944,"(2089600840, 3850478664)",1
41,59094,443,3850613175,3471144603,8,501,46587,"(3850478866, 2089600840)",0
42,443,59094,3471144603,3850613175,8,2149,13523,"(2089601032, 3850478866)",1
43,443,59094,3471147059,3850613175,8,2149,13523,"(2089601032, 3850478866)",1
44,443,59094,3471149515,3850613175,8,2149,13523,"(2089601032, 3850478866)",1
45,443,59094,3471151971,3850613175,8,2149,13523,"(2089601032, 3850478866)",1
46,443,59094,3471154427,3850613175,8,2149,13523,"(2089601032, 3850478866)",1
47,443,59094,3471156883,3850613175,8,2149,13523,"(2089601032, 3850478866)",1
