,sport,dport,seq,ask,dataofs,window,chksum,timestamp,class2
0,34552,434,2512385830,163113468,8,501,59387,"(3172719101, 1868995768)",2
1,34552,434,2512385953,163113468,8,501,65500,"(3172719101, 1868995768)",2
2,34552,434,2512386078,163113468,8,501,24332,"(3172719107, 1868995768)",2
3,34552,434,2512386231,163113468,8,501,59507,"(3172719294, 1868995768)",2
4,434,34552,163113468,2512385953,8,462,51689,"(1868997790, 3172719101)",1
5,434,34552,163113468,2512386078,8,462,51564,"(1868997790, 3172719101)",1
6,434,34552,163113468,2512386231,8,484,51383,"(1868997790, 3172719107)",1
7,434,34552,163113468,2512386231,8,484,26833,"(1868997794, 3172719107)",1
8,34552,434,2512386353,163113555,8,501,50961,"(3172719299, 1868997794)",2
9,434,34552,163113555,2512386231,8,484,54595,"(1868997821, 3172719107)",1
10,34552,434,2512386353,163114020,8,501,50469,"(3172719299, 1868997821)",2
11,434,34552,163114020,2512386231,8,484,47404,"(1868997827, 3172719107)",1
12,34552,434,2512386353,163114447,8,501,50000,"(3172719335, 1868997827)",2
13,37086,434,4213511853,310521297,8,1223,22931,"(3172719428, 1868993358)",0
14,434,34552,163114447,2512386353,8,484,63216,"(1868997842, 3172719294)",1
15,34552,434,2512386353,163114557,8,501,49778,"(3172719432, 1868997842)",2
16,434,37086,310521297,4213512065,8,477,3137,"(1868997875, 3172719428)",0
17,37086,434,4213512065,310521361,8,1223,59612,"(3172719538, 1868997875)",0
18,434,37086,310521361,4213512065,8,477,14217,"(1868997919, 3172719538)",0
19,37086,434,4213512065,310521616,8,1246,59082,"(3172719746, 1868997919)",0
20,434,37086,310521616,4213512065,8,477,22275,"(1868997919, 3172719538)",0
21,37086,434,4213512065,310523064,8,1269,57611,"(3172719746, 1868997919)",0
22,434,37086,310523064,4213512065,8,477,341,"(1868997919, 3172719538)",0
23,37086,434,4213512065,310525888,8,1313,54736,"(3172719753, 1868997919)",0
24,34552,434,2512386353,163114557,8,501,20939,"(3172722185, 1868997842)",2
25,34552,434,2512386449,163114557,8,501,29106,"(3172722194, 1868997842)",2
26,434,34552,163114557,2512386584,8,507,46067,"(1868998563, 3172722185)",1
27,434,34552,163114557,2512386584,8,507,52483,"(1868998670, 3172722185)",1
28,34552,434,2512386584,163115500,8,501,44397,"(3172722811, 1868998670)",2
29,34552,434,2512386584,163115500,8,501,33053,"(3172723720, 1868998670)",2
30,434,34552,163115500,2512386680,8,507,43099,"(1868998957, 3172723720)",1
31,34552,434,2512386680,163115500,8,501,357,"(3172724601, 1868998957)",2
